Date,AAPL_Close,AAPL_High,AAPL_Low,AAPL_Open,AAPL_Volume,AMZN_Close,AMZN_High,AMZN_Low,AMZN_Open,AMZN_Volume,NFLX_Close,NFLX_High,NFLX_Low,NFLX_Open,NFLX_Volume
2024-01-02,183.40402221679688,186.17030008579113,181.6751004330507,184.89582930034302,82488700,149.92999267578125,152.3800048828125,148.38999938964844,151.5399932861328,47339400,46.849998474121094,48.46500015258789,46.18600082397461,48.319000244140625,50494000
2024-01-03,182.03076171875,183.6411336613478,181.22063114701328,182.00112426612563,58414500,148.47000122070312,151.0500030517578,148.3300018310547,149.1999969482422,49425500,47.0260009765625,47.505001068115234,46.57699966430664,46.731998443603516,34437000
2024-01-04,179.71896362304688,180.88474371487789,178.70137080560033,179.956063262062,71983600,144.57000732421875,147.3800048828125,144.0500030517578,145.58999633789062,56039800,47.46699905395508,48.07400131225586,46.65299987792969,47.29800033569336,36365000
2024-01-05,178.99774169921875,180.5587129492039,177.99991223040004,179.79799818956093,62379700,145.24000549316406,146.58999633789062,144.52999877929688,144.69000244140625,45153100,47.40599822998047,47.95500183105469,47.18000030517578,47.650001525878906,26313000
2024-01-08,183.32498168945312,183.36450834315934,179.313885613353,179.89677561800764,59144500,149.10000610351562,149.39999389648438,146.14999389648438,146.74000549316406,46757100,48.50299835205078,48.52399826049805,47.3650016784668,47.388999938964844,36758000
2024-01-09,182.9100341796875,182.9199083051763,180.52905841182087,181.7047275700206,42841800,151.3699951171875,151.7100067138672,148.2100067138672,148.3300018310547,43812600,48.20899963378906,48.50899887084961,47.380001068115234,47.553001403808594,35268000
2024-01-10,183.94740295410156,184.15486512874935,181.7047401626592,182.12956878813148,46792900,153.72999572753906,154.4199981689453,151.8800048828125,152.05999755859375,44421800,47.83300018310547,48.70000076293945,47.29499816894531,48.15999984741211,43424000
2024-01-11,183.35462951660156,184.7970509584636,181.40835627398752,184.2931840827093,49128400,155.17999267578125,157.1699981689453,153.1199951171875,155.0399932861328,49072700,49.222999572753906,50.340999603271484,48.38199996948242,49.25400161743164,79933000
2024-01-12,183.68063354492188,184.49076406507768,182.95943045197853,183.81894667336306,40477800,154.6199951171875,156.1999969482422,154.00999450683594,155.38999938964844,40484200,49.215999603271484,50.07899856567383,49.06100082397461,50.05099868774414,50037000
2024-01-16,181.418212890625,182.04061439740983,178.75072186869164,179.9659175831278,65603000,153.16000366210938,154.99000549316406,152.14999389648438,153.52999877929688,41384600,48.124000549316406,49.415000915527344,47.801998138427734,49.0,46790000
2024-01-17,180.4796905517578,180.7266794090325,178.12836688150517,179.08668485373124,47317400,151.7100067138672,152.14999389648438,149.91000366210938,151.49000549316406,34953400,48.03300094604492,48.62099838256836,47.5260009765625,48.45000076293945,48946000
2024-01-18,186.35800170898438,186.86185345428623,183.59172402252184,183.8485869578717,78005800,153.5,153.77999877929688,151.82000732421875,152.77000427246094,37850200,48.53099822998047,48.57699966430664,47.801998138427734,48.00299835205078,40544000
2024-01-19,189.2527313232422,189.638033320768,186.54574321370293,187.0495950335435,68903000,155.33999633789062,155.75999450683594,152.74000549316406,153.8300018310547,51651600,48.29499816894531,48.56700134277344,47.60599899291992,48.49800109863281,56724000
